Bonmin 1.8.2 using Cbc 2.9.8 and Ipopt 3.12.1
bonmin: bonmin.algorithm="B-BB"
bonmin.time_limit=3600.0
halt_on_ampl_error=yes
bonmin.allowable_fraction_gap=1.0e-5
bonmin.oa_log_level=1
bonmin.bb_log_level=1


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -32310.077       33 0.576
NLP0014I             2         OPT -32300.496       20 0.304
NLP0014I             3         OPT -32298.015       18 0.272
NLP0014I             4         OPT -32254.297       20 0.316
NLP0014I             5         OPT -32194.922       20 0.3
NLP0014I             6         OPT -32210.651       15 0.224
NLP0014I             7         OPT -32272.736       18 0.268
NLP0014I             8         OPT -32272.096       19 0.296
NLP0014I             9         OPT -32219.238       20 0.3
NLP0014I            10         OPT -32271.188       19 0.284
NLP0014I            11         OPT -32234.248       17 0.256
NLP0014I            12         OPT -31972.023       19 0.284
NLP0014I            13         OPT -32177.092       21 0.312
NLP0014I            14         OPT -32194.989       16 0.244
NLP0014I            15         OPT -32135.286       20 0.308
NLP0014I            16         OPT -32291.082       19 0.308
NLP0014I            17         OPT -32300.22       21 0.316
NLP0014I            18         OPT -32277.709       20 0.312
NLP0014I            19         OPT -32209.729       17 0.252
NLP0014I            20         OPT -32298.49       18 0.28
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT -32257.045       21 0.32
NLP0014I            22         OPT -32213.69       16 0.24
NLP0014I            23         OPT -32280.054       16 0.24
NLP0014I            24         OPT -31932.065       16 0.24
NLP0014I            25         OPT -32243.595       22 0.328
NLP0014I            26         OPT -32089.78       22 0.332
NLP0014I            27         OPT -32298.792       19 0.288
NLP0014I            28         OPT -32086.15       21 0.32
NLP0014I            29         OPT -32300.876       17 0.26
NLP0014I            30         OPT -32226.355       16 0.236
NLP0014I            31         OPT -32309.468       22 0.336
NLP0014I            32         OPT -32309.812       17 0.268
NLP0014I            33         OPT -32166.441       18 0.268
NLP0014I            34         OPT -32305.521       20 0.328
NLP0014I            35         OPT -32037.559       19 0.288
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible -1.7976931e+308 (9.75 seconds)
NLP0014I            36         OPT -32177.092       21 0.316
NLP0014I            37         OPT -31972.023       19 0.28
NLP0014I            38         OPT -31960.481       25 0.396
NLP0014I            39         OPT -31700.388       21 0.312
NLP0014I            40         OPT -31937.517       21 0.324
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT -31971.693       24 0.368
NLP0014I            42         OPT -32154.331       22 0.332
NLP0014I            43         OPT -31890.8       20 0.308
NLP0014I            44         OPT -32082.665       20 0.3
NLP0014I            45         OPT -32154.212       22 0.332
NLP0014I            46         OPT -32146.354       17 0.248
NLP0014I            47         OPT -31802.397       21 0.296
NLP0014I            48         OPT -31791.941       19 0.32
NLP0014I            49         OPT -31761.968       25 0.376
NLP0014I            50         OPT -31566.523       23 0.328
NLP0014I            51         OPT -31801.353       21 0.32
NLP0014I            52         OPT -31794.946       24 0.364
NLP0014I            53         OPT -31153.685       25 0.372
NLP0014I            54         OPT -32053.432       23 0.352
NLP0014I            55         OPT -32045.532       20 0.304
NLP0014I            56         OPT -32003.214       23 0.344
NLP0014I            57         OPT -32051.322       22 0.32
NLP0014I            58         OPT -31659.572       20 0.296
NLP0014I            59         OPT -31965.82       18 0.268
NLP0014I            60         OPT -31837.445       20 0.296
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            61      INFEAS 9.5286721       35 0.52
NLP0014I            62         OPT -31791.989       22 0.332
NLP0014I            63         OPT -31962.7       25 0.372
NLP0014I            64         OPT -31837.445       20 0.292
NLP0014I            65         OPT -31987.586       31 0.544
NLP0014I            66         OPT -31655.652       22 0.352
NLP0014I            67         OPT -31653.537       22 0.328
NLP0014I            68         OPT -31864.394       26 0.388
NLP0014I            69         OPT -31987.582       18 0.268
NLP0014I            70         OPT -31815.402       20 0.308
NLP0014I            71         OPT -31655.652       22 0.352
NLP0014I            72         OPT -31653.537       22 0.328
NLP0014I            73         OPT -31653.218       22 0.308
NLP0014I            74         OPT -31633.286       19 0.288
NLP0014I            75         OPT -31632.94       21 0.344
