Bonmin 1.8.2 using Cbc 2.9.8 and Ipopt 3.12.1
bonmin: bonmin.algorithm="B-BB"
bonmin.time_limit=3600.0
halt_on_ampl_error=yes
bonmin.allowable_fraction_gap=1.0e-5
bonmin.oa_log_level=1
bonmin.bb_log_level=1


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -1.1131645       19 0.504
NLP0014I             2         OPT -1.1112361       16 0.44
NLP0014I             3         OPT -1.1131645       15 0.396
NLP0014I             4         OPT -1.1117688       18 0.464
NLP0014I             5         OPT -1.1131645       15 0.392
NLP0014I             6         OPT -1.108484       17 0.468
NLP0014I             7         OPT -1.1131645       15 0.404
NLP0014I             8         OPT -1.108223       16 0.424
NLP0014I             9         OPT -1.1131645       15 0.4
NLP0014I            10         OPT -1.1117274       17 0.464
NLP0014I            11         OPT -1.1131645       15 0.4
NLP0014I            12         OPT -1.1112522       17 0.44
NLP0014I            13         OPT -1.1131645       15 0.416
NLP0014I            14         OPT -1.1098144       16 0.4
NLP0014I            15         OPT -1.1131645       15 0.4
NLP0014I            16         OPT -1.1115179       15 0.356
NLP0014I            17         OPT -1.1131645       15 0.4
NLP0014I            18         OPT -1.1127879       15 0.396
NLP0014I            19         OPT -1.1131645       15 0.4
NLP0014I            20         OPT -1.1124729       15 0.392
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT -1.1131645       15 0.392
NLP0014I            22         OPT -1.1128126       15 0.408
NLP0014I            23         OPT -1.1131645       15 0.412
NLP0014I            24         OPT -1.1129664       15 0.4
NLP0014I            25         OPT -1.1131645       15 0.404
NLP0014I            26         OPT -1.1127471       17 0.456
NLP0014I            27         OPT -1.1131645       15 0.404
NLP0014I            28         OPT -1.1119201       16 0.416
NLP0014I            29         OPT -1.1131645       15 0.404
NLP0014I            30         OPT -1.1130678       16 0.404
NLP0014I            31         OPT -1.1131645       15 0.396
NLP0014I            32         OPT -1.1131025       16 0.44
NLP0014I            33         OPT -1.1131645       15 0.4
NLP0014I            34         OPT -1.1130926       16 0.412
NLP0014I            35         OPT -1.1131645       15 0.404
NLP0014I            36         OPT -1.1130962       15 0.384
NLP0014I            37         OPT -1.1131645       15 0.392
NLP0014I            38         OPT -1.1124241       18 0.432
NLP0014I            39         OPT -1.1131645       15 0.412
NLP0014I            40         OPT -1.1131158       15 0.384
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT -1.1131645       15 0.404
NLP0014I            42         OPT -1.1117815       16 0.38
NLP0014I            43         OPT -1.1131645       15 0.396
NLP0014I            44         OPT -1.1131514       16 0.424
NLP0014I            45         OPT -1.1131645       15 0.408
NLP0014I            46         OPT -1.1131619       15 0.4
NLP0014I            47         OPT -1.1131645       15 0.404
NLP0014I            48         OPT -1.1131632       16 0.428
NLP0014I            49         OPT -1.1131645       15 0.408
NLP0014I            50         OPT -1.1131645       16 0.432
NLP0014I            51         OPT -1.1131645       15 0.404
NLP0014I            52         OPT -1.1131645       15 0.4
NLP0014I            53         OPT -1.1131645       15 0.408
NLP0014I            54         OPT -1.1131645       16 0.444
NLP0014I            55         OPT -1.1131645       15 0.408
NLP0014I            56         OPT -1.1131645       16 0.424
NLP0014I            57         OPT -1.1131645       15 0.408
NLP0014I            58         OPT -1.1131645       16 0.428
NLP0014I            59         OPT -1.1131645       15 0.396
NLP0014I            60         OPT -1.1131645       15 0.396
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            61         OPT -1.1131645       15 0.4
NLP0014I            62         OPT -1.1131645       16 0.416
NLP0014I            63         OPT -1.1131645       15 0.4
NLP0014I            64         OPT -1.1131645       16 0.436
NLP0014I            65         OPT -1.1131645       15 0.396
NLP0014I            66         OPT -1.1131645       16 0.432
NLP0014I            67         OPT -1.1131645       15 0.404
NLP0014I            68         OPT -1.1131645       16 0.428
NLP0014I            69         OPT -1.1131645       15 0.392
NLP0014I            70         OPT -1.1131645       15 0.392
NLP0014I            71         OPT -1.1131645       15 0.396
NLP0014I            72         OPT -1.1131645       16 0.42
NLP0014I            73         OPT -1.1131645       15 0.4
NLP0014I            74         OPT -1.1131645       16 0.412
NLP0014I            75         OPT -1.1131645       15 0.4
NLP0014I            76         OPT -1.1131645       16 0.428
NLP0014I            77         OPT -1.1131645       15 0.396
NLP0014I            78         OPT -1.1131645       16 0.44
NLP0014I            79         OPT -1.1131645       15 0.404
