Bonmin 1.8.2 using Cbc 2.9.8 and Ipopt 3.12.1
bonmin: bonmin.algorithm="B-BB"
bonmin.time_limit=3600.0
halt_on_ampl_error=yes
bonmin.allowable_fraction_gap=1.0e-5
bonmin.oa_log_level=1
bonmin.bb_log_level=1


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 221613.56       44 0.108
NLP0014I             2         OPT 221668.53       20 0.044
NLP0014I             3         OPT 221652.52       17 0.04
NLP0014I             4         OPT 221639.33       19 0.044
NLP0014I             5         OPT 221668.53       17 0.036
NLP0014I             6         OPT 221622.6       21 0.044
NLP0014I             7         OPT 221617.3       22 0.044
NLP0014I             8         OPT 221617.1       21 0.044
NLP0014I             9         OPT 221645.04       21 0.048
NLP0014I            10         OPT 233763.83       55 0.14
NLP0014I            11         OPT 233839.2      106 0.256
NLP0014I            12         OPT 232296.89       43 0.096
NLP0014I            13         OPT 233879.74       36 0.076
NLP0014I            14         OPT 227830.12       24 0.056
NLP0014I            15         OPT 234072.24       70 0.168
NLP0014I            16         OPT 233454.76      210 0.484
NLP0014I            17         OPT 233538.27       36 0.076
NLP0014I            18         OPT 232077.39       49 0.12
NLP0014I            19         OPT 233587.8       64 0.132
NLP0014I            20         OPT 227707.55       25 0.056
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT 233834.6       25 0.056
NLP0014I            22         OPT 230599.71       74 0.176
NLP0014I            23         OPT 230681.52       65 0.16
NLP0014I            24         OPT 229977.43       53 0.144
NLP0014I            25         OPT 230732.22       29 0.06
NLP0014I            26         OPT 226684.88       27 0.056
NLP0014I            27         OPT 230990.78       34 0.076
NLP0014I            28         OPT 230509.07       50 0.116
NLP0014I            29         OPT 230595.52       41 0.112
NLP0014I            30         OPT 229921.96       63 0.156
NLP0014I            31         OPT 230652.06       53 0.14
NLP0014I            32         OPT 226653.52       22 0.056
NLP0014I            33         OPT 230949.2       20 0.044
NLP0014I            34         OPT 230624.5      175 0.42
NLP0014I            35         OPT 230701.73      179 0.484
NLP0014I            36         OPT 229972.92       25 0.056
NLP0014I            37         OPT 230746.8       37 0.088
NLP0014I            38         OPT 226677.46       22 0.044
NLP0014I            39         OPT 230969.55       31 0.068
NLP0014I            40         OPT 230185.04       40 0.088
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT 230272.14       45 0.108
NLP0014I            42         OPT 229648.07       29 0.068
NLP0014I            43         OPT 230328.93       44 0.092
NLP0014I            44         OPT 226489.65       27 0.06
NLP0014I            45         OPT 230626.73       38 0.08
NLP0014I            46         OPT 227885.23       50 0.116
NLP0014I            47         OPT 227968.89       55 0.124
NLP0014I            48         OPT 227759.03       23 0.056
NLP0014I            49         OPT 228024.84       45 0.092
NLP0014I            50         OPT 225596.33       42 0.1
NLP0014I            51         OPT 228322.69       36 0.076
NLP0014I            52         OPT 221616.14       21 0.044
NLP0014I            53         OPT 221616.18       21 0.048
NLP0014I            54         OPT 221614.96       19 0.04
NLP0014I            55         OPT 221616.14       17 0.032
NLP0014I            56         OPT 227713.08       97 0.236
NLP0014I            57         OPT 227782.16       60 0.16
NLP0014I            58         OPT 227579.77       42 0.104
NLP0014I            59         OPT 227821.2       63 0.144
NLP0014I            60         OPT 225443.82       35 0.08
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            61         OPT 228011.08       34 0.072
NLP0014I            62         OPT 221616.22       23 0.052
NLP0014I            63         OPT 221634.42       17 0.032
NLP0014I            64         OPT 221614.93       21 0.048
NLP0014I            65         OPT 221616.22       22 0.04
NLP0014I            66         OPT 221613.58       23 0.048
NLP0014I            67         OPT 221745.59       18 0.036
NLP0014I            68         OPT 221629.97       22 0.052
NLP0014I            69         OPT 221613.58       16 0.036
NLP0014I            70         OPT 221614.9       21 0.044
NLP0014I            71         OPT 221646.35       25 0.056
NLP0014I            72         OPT 221641.51       21 0.044
NLP0014I            73         OPT 221617.51       19 0.04
NLP0014I            74         OPT 221613.71       24 0.052
NLP0014I            75         OPT 221626.64       19 0.044
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible -1.7976931e+308 (7.18 seconds)
NLP0014I            76         OPT 233763.83       55 0.144
NLP0014I            77         OPT 233806.18      226 0.528
NLP0014I            78         OPT 233765.62       51 0.132
NLP0014I            79         OPT 233797.67      106 0.256
NLP0014I            80         OPT 233769.19       84 0.208
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            81         OPT 233773.33       91 0.256
NLP0014I            82         OPT 233789.56       64 0.156
NLP0014I            83         OPT 233789.56      102 0.252
NLP0014I            84         OPT 233773.33      277 0.728
NLP0014I            85         OPT 233769.19      128 0.324
NLP0014I            86         OPT 233799.52       84 0.208
NLP0014I            87         OPT 233839.2      106 0.264
NLP0014I            88         OPT 233839.2      178 0.468
NLP0014I            89         OPT 233843.73      159 0.416
NLP0014I            90         OPT 251345.05       44 0.092
NLP0014I            91         OPT 251375.89       38 0.08
NLP0014I            92         OPT 251346.18       41 0.076
NLP0014I            93         OPT 251353.54       47 0.124
NLP0014I            94         OPT 251444.68       84 0.228
NLP0014I            95         OPT 251351.98       29 0.064
NLP0014I            96         OPT 251443.79       64 0.152
NLP0014I            97         OPT 251346.59       31 0.068
NLP0014I            98         OPT 251372.43       41 0.088
NLP0014I            99         OPT 251346.18       38 0.092
NLP0014I           100         OPT 253291.33       62 0.128
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           101         OPT 251352.79       76 0.192
NLP0014I           102         OPT 256563.17       39 0.08
NLP0014I           103         OPT 251354.21       48 0.104
NLP0014I           104         OPT 251371.79       39 0.088
NLP0014I           105         OPT 251277.9       21 0.052
NLP0014I           106         OPT 251294.99       29 0.068
NLP0014I           107         OPT 251277.9       46 0.116
NLP0014I           108         OPT 251292.36       30 0.068
NLP0014I           109         OPT 251277.9       60 0.14
NLP0014I           110         OPT 272594.93      125 0.392
NLP0014I           111         OPT 272629.49       44 0.12
NLP0014I           112         OPT 272594.92       58 0.14
NLP0014I           113         OPT 272669.43      248 0.776
NLP0014I           114         OPT 272594.92       78 0.18
NLP0014I           115         OPT 272614.27      193 0.664
NLP0014I           116         OPT 272626.09       78 0.184
NLP0014I           117         OPT 272607.69       55 0.164
NLP0014I           118         OPT 272709.21       42 0.092
NLP0014I           119         OPT 272613.76      143 0.448
NLP0014I           120         OPT 272607.68       61 0.136
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           121         OPT 272624.34      106 0.332
NLP0014I           122         OPT 273196.12      131 0.34
NLP0014I           123         OPT 272596.48       92 0.268
NLP0014I           124         OPT 272631.24       78 0.216
NLP0014I           125         OPT 272597.9      126 0.38
NLP0014I           126         OPT 272657.5       72 0.168
NLP0014I           127         OPT 272594.93      118 0.364
NLP0014I           128         OPT 272634.18       85 0.196
NLP0014I           129         OPT 272547.77       29 0.064
NLP0014I           130         OPT 307513.76       58 0.172
NLP0014I           131         OPT 307526.54       61 0.184
NLP0014I           132         OPT 307521.98       75 0.184
NLP0014I           133         OPT 307523.03       45 0.112
NLP0014I           134         OPT 307526.74      107 0.292
NLP0014I           135         OPT 307522       55 0.14
NLP0014I           136         OPT 308368.74       44 0.12
NLP0014I           137         OPT 307530.74       46 0.116
NLP0014I           138         OPT 318743.3      158 0.432
NLP0014I           139         OPT 318748.09       85 0.22
NLP0014I           140         OPT 318752.14      205 0.544
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           141         OPT 317140.3       82 0.232
NLP0014I           142         OPT 317157.88       65 0.18
NLP0014I           143         OPT 317352.12       82 0.196
NLP0014I           144         OPT 331820.89       69 0.212
NLP0014I           145         OPT 337228.69       72 0.172
NLP0014I           146         OPT 407378.04      118 0.352
NLP0014I           147         OPT 407387.09      189 0.596
NLP0014I           148         OPT 407397.59      216 0.672
NLP0014I           149         OPT 407378.2      109 0.34
NLP0014I           150         OPT 407381.02       62 0.144
NLP0014I           151         OPT 407503.09      219 0.696
NLP0014I           152         OPT 407507.56      153 0.5
NLP0014I           153         OPT 407503.08      254 0.816
NLP0014I           154         OPT 407503.09      176 0.584
NLP0014I           155         OPT 407505.84      204 0.6
NLP0014I           156         OPT 407503.09      129 0.364
NLP0014I           157         OPT 407507.53      170 0.508
NLP0014I           158         OPT 381161.39      341 0.98
NLP0014I           159         OPT 435327.24       71 0.188
NLP0014I           160         OPT 439172.02      203 0.564
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           161         OPT 449949.96      187 0.556
NLP0014I           162         OPT 435327.24       71 0.196
NLP0014I           163         OPT 439172.02      203 0.552
NLP0014I           164         OPT 439172       91 0.24
NLP0014I           165         OPT 439259.56      120 0.292
NLP0014I           166         OPT 533749.6       49 0.132
NLP0014I           167         OPT 533919.53      107 0.336
NLP0014I           168         OPT 641218.97       67 0.156
NLP0014I           169         OPT 641402.61      102 0.304
NLP0014I           170         OPT 767278.66       61 0.136
NLP0014I           171         OPT 767446.87       90 0.256
NLP0014I           172         OPT 767279.95       63 0.148
NLP0014I           173         OPT 767280.08       43 0.108
NLP0014I           174         OPT 767413.17       78 0.18
NLP0014I           175         OPT 767347.65       89 0.192
NLP0014I           176         OPT 767286.82       53 0.128
NLP0014I           177         OPT 767284.83       90 0.188
NLP0014I           178         OPT 767350.49       81 0.18
NLP0014I           179         OPT 767959.72       95 0.208
NLP0014I           180         OPT 767350.63       86 0.188
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           181      INFEAS 8.0773062e-16      106 0.252
 Very small infeasibility:  8.0773062e-16
NLP0014I           182         OPT 767493.47      114 0.268
NLP0014I           183         OPT 767454.51      116 0.276
NLP0014I           184      INFEAS 8.0773062e-16      106 0.26
NLP0014I           185         OPT 767493.47      114 0.28
NLP0014I           186         OPT 767505.36      160 0.46
NLP0014I           187         OPT 767519.68       88 0.204
NLP0014I           188         OPT 767719.69      150 0.332
NLP0014I           189         OPT 767541.14       97 0.212
NLP0014I           190         OPT 767519.68       88 0.192
NLP0014I           191         OPT 767522.46       93 0.22
NLP0014I           192         OPT 767830.78      153 0.32
NLP0014I           193         OPT 767719.69      150 0.34
NLP0014I           194         OPT 767720.06       71 0.172
NLP0014I           195         OPT 769711.48       52 0.124
