Bonmin 1.8.2 using Cbc 2.9.8 and Ipopt 3.12.1
bonmin: bonmin.algorithm="B-BB"
bonmin.time_limit=3600.0
halt_on_ampl_error=yes
bonmin.allowable_fraction_gap=1.0e-5
bonmin.oa_log_level=1
bonmin.bb_log_level=1


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 0.71830628       16 0.012
NLP0014I             2         OPT 0.75366162       17 0.012
NLP0014I             3         OPT 0.91999915       18 0.012
NLP0014I             4         OPT 0.7591028       17 0.016
NLP0014I             5         OPT 0.99538423       20 0.016
NLP0014I             6         OPT 0.78193891       17 0.012
NLP0014I             7         OPT 0.81979523       17 0.016
NLP0014I             8         OPT 0.79403934       18 0.008
NLP0014I             9         OPT 0.85847968       17 0.016
NLP0014I            10         OPT 0.73138957       10 0.008
NLP0014I            11         OPT 0.71869184        6 0.004
NLP0014I            12         OPT 0.72936385       10 0.008
NLP0014I            13         OPT 0.71847077        7 0
NLP0014I            14         OPT 0.76600442       15 0.012
NLP0014I            15         OPT 8.0999997       21 0.02
NLP0014I            16         OPT 1.108336       36 0.028
NLP0014I            17         OPT 1.1       17 0.012
NLP0014I            18         OPT 0.76151795       16 0.012
NLP0014I            19         OPT 7.1999997       20 0.016
NLP0014I            20         OPT 0.95524606       20 0.02
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT 1.2204441       17 0.012
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible -1.7976931e+308 (0.27 seconds)
NLP0014I            22         OPT 0.76600442       15 0.012
NLP0014I            23         OPT 0.81856615       17 0.016
NLP0014I            24         OPT 7.0874996       19 0.016
NLP0014I            25         OPT 8.0999997       21 0.012
NLP0014I            26         OPT 8.0999997       22 0.016
NLP0014I            27         OPT 8.0999997       22 0.016
NLP0014I            28         OPT 8.0999996       21 0.02
NLP0014I            29         OPT 8.0999996       21 0.012
NLP0014I            30         OPT 8.0999997       20 0.012
NLP0014I            31         OPT 8.0999997       27 0.02
NLP0014I            32         OPT 8.0999997       22 0.012
NLP0014I            33         OPT 8.0999997       21 0.012
NLP0014I            34         OPT 8.0999996       21 0.012
NLP0014I            35         OPT 8.0999996       28 0.024
NLP0014I            36         OPT 8.0999996       21 0.016
NLP0014I            37         OPT 8.0999996       25 0.02
NLP0014I            38         OPT 8.0999997       20 0.016
NLP0014I            39         OPT 8.0999997       20 0.016
NLP0014I            40         OPT 8.0999997       21 0.016
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT 8.0999996       25 0.024
NLP0014I            42         OPT 8.0999997       22 0.016
NLP0014I            43         OPT 8.0999996       26 0.02
NLP0014I            44         OPT 8.0999996       22 0.016
NLP0014I            45         OPT 8.0999997       21 0.02
NLP0014I            46         OPT 0.81734743       17 0.008
NLP0014I            47         OPT 0.87348944       17 0.016
NLP0014I            48         OPT 6.1714283       24 0.016
NLP0014I            49         OPT 7.1999997       20 0.016
NLP0014I            50         OPT 0.87984792       18 0.016
NLP0014I            51         OPT 0.94985282       17 0.012
NLP0014I            52         OPT 6.0749997       17 0.016
NLP0014I            53         OPT 7.0874997       18 0.012
NLP0014I            54         OPT 0.94826394       16 0.012
NLP0014I            55         OPT 1.0242339       15 0.012
NLP0014I            56         OPT 5.1428569       21 0.016
NLP0014I            57         OPT 6.1714283       22 0.016
NLP0014I            58         OPT 1.0337577       16 0.008
NLP0014I            59         OPT 1.1317242       15 0.012
