numerics/lpfeastol = 1e-08
presolving:
(round 1, fast)       33 del vars, 93 del conss, 0 add conss, 214 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 2, fast)       33 del vars, 93 del conss, 0 add conss, 244 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 3, fast)       33 del vars, 93 del conss, 0 add conss, 278 chg bounds, 0 chg sides, 0 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 4, fast)       33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 2 upgd conss, 0 impls, 0 clqs
(round 5, exhaustive) 33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 32 upgd conss, 0 impls, 0 clqs
(round 6, exhaustive) 33 del vars, 93 del conss, 0 add conss, 297 chg bounds, 0 chg sides, 23 chg coeffs, 33 upgd conss, 30 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (7 rounds: 7 fast, 3 medium, 3 exhaustive):
 33 deleted vars, 93 deleted constraints, 0 added constraints, 297 tightened bounds, 0 added holes, 0 changed sides, 23 changed coefficients
 30 implications, 0 cliques
presolved problem has 90 variables (30 bin, 0 int, 0 impl, 60 cont) and 63 constraints
     30 constraints of type <varbound>
      1 constraints of type <knapsack>
     31 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 0.01
numerics/lpfeastol = 1e-08

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   103 |     - |1913k|-1.266403e-01 |      --      |    Inf 
F     1 |     0 |   168 |     - |1925k|-1.266403e-01 |-7.279962e-02 |  73.96%
      1 |     0 |   177 |     - |1939k|-1.155854e-01 |-7.279962e-02 |  58.77%
      1 |     0 |   187 |     - |2005k|-1.084730e-01 |-7.279962e-02 |  49.00%
      1 |     0 |   197 |     - |2298k|-1.062382e-01 |-7.279962e-02 |  45.93%
      1 |     0 |   209 |     - |2305k|-1.027389e-01 |-7.279962e-02 |  41.13%
      1 |     0 |   223 |     - |2305k|-9.570651e-02 |-7.279962e-02 |  31.47%
      1 |     0 |   228 |     - |2305k|-9.353760e-02 |-7.279962e-02 |  28.49%
      1 |     0 |   229 |     - |2305k|-9.311639e-02 |-7.279962e-02 |  27.91%
      1 |     0 |   231 |     - |2313k|-9.235044e-02 |-7.279962e-02 |  26.86%
      1 |     0 |   234 |     - |2321k|-9.117883e-02 |-7.279962e-02 |  25.25%
      1 |     0 |   238 |     - |2321k|-9.092891e-02 |-7.279962e-02 |  24.90%
      1 |     0 |   245 |     - |2321k|-8.950136e-02 |-7.279962e-02 |  22.94%
      1 |     0 |   254 |     - |2321k|-8.913856e-02 |-7.279962e-02 |  22.44%
      1 |     0 |   258 |     - |2444k|-8.889895e-02 |-7.279962e-02 |  22.11%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   267 |     - |2444k|-8.839821e-02 |-7.279962e-02 |  21.43%
      1 |     0 |   269 |     - |2877k|-8.838927e-02 |-7.279962e-02 |  21.41%
      1 |     0 |   277 |     - |2877k|-8.794346e-02 |-7.279962e-02 |  20.80%
      1 |     0 |   279 |     - |2877k|-8.761604e-02 |-7.279962e-02 |  20.35%
      1 |     0 |   286 |     - |2904k|-8.624017e-02 |-7.279962e-02 |  18.46%
      1 |     0 |   289 |     - |2904k|-8.588846e-02 |-7.279962e-02 |  17.98%
      1 |     0 |   290 |     - |2904k|-8.586805e-02 |-7.279962e-02 |  17.95%
      1 |     0 |   293 |     - |2904k|-8.563066e-02 |-7.279962e-02 |  17.63%
      1 |     0 |   297 |     - |2904k|-8.545743e-02 |-7.279962e-02 |  17.39%
      1 |     0 |   300 |     - |2904k|-8.530481e-02 |-7.279962e-02 |  17.18%
      1 |     0 |   306 |     - |2904k|-8.449320e-02 |-7.279962e-02 |  16.06%
      1 |     0 |   314 |     - |2904k|-8.404253e-02 |-7.279962e-02 |  15.44%
      1 |     0 |   326 |     - |2904k|-8.374009e-02 |-7.279962e-02 |  15.03%
      1 |     0 |   332 |     - |2904k|-8.369196e-02 |-7.279962e-02 |  14.96%
      1 |     0 |   342 |     - |2904k|-8.349975e-02 |-7.279962e-02 |  14.70%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   347 |     - |2904k|-8.338593e-02 |-7.279962e-02 |  14.54%
      1 |     0 |   351 |     - |2904k|-8.309360e-02 |-7.279962e-02 |  14.14%
      1 |     0 |   359 |     - |2904k|-8.273245e-02 |-7.279962e-02 |  13.64%
      1 |     0 |   367 |     - |2904k|-8.266704e-02 |-7.279962e-02 |  13.55%
      1 |     0 |   377 |     - |2904k|-8.239948e-02 |-7.279962e-02 |  13.19%
      1 |     0 |   380 |     - |2904k|-8.236339e-02 |-7.279962e-02 |  13.14%
      1 |     0 |   390 |     - |2904k|-8.232120e-02 |-7.279962e-02 |  13.08%
