numerics/lpfeastol = 1e-08
presolving:
(round 1, fast)       312 del vars, 416 del conss, 0 add conss, 312 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 312 deleted vars, 416 deleted constraints, 0 added constraints, 312 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 208 implications, 0 cliques
presolved problem has 313 variables (104 bin, 0 int, 0 impl, 209 cont) and 132 constraints
     28 constraints of type <linear>
    104 constraints of type <quadratic>
Presolving Time: 0.01
numerics/lpfeastol = 1e-08

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |    72 |     - |3764k| 0.000000e+00 |      --      |    Inf 
U     1 |     0 |    72 |     - |3875k| 0.000000e+00 | 1.000000e+05 |    Inf 
U     1 |     0 |    72 |     - |3875k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |    98 |     - |3875k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |    98 |     - |3875k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   122 |     - |3890k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   159 |     - |3890k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   192 |     - |4050k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   267 |     - |4050k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |   363 |     - |4173k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |  2314 |     - |4615k| 0.000000e+00 | 1.065683e+01 |    Inf 
      1 |     0 |  2476 |     - |4615k| 4.949827e-03 | 1.065683e+01 |  Large 
      1 |     0 |  2476 |     - |4615k| 4.949827e-03 | 1.065683e+01 |  Large 
      1 |     0 |  2662 |     - |4732k| 4.462268e-02 | 1.065683e+01 |  Large 
      1 |     0 |  2662 |     - |4732k| 4.462268e-02 | 1.065683e+01 |  Large 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  2821 |     - |4756k| 2.282491e-01 | 1.065683e+01 |4568.95%
      1 |     0 |  2821 |     - |4788k| 2.282491e-01 | 1.065683e+01 |4568.95%
      1 |     0 |  2965 |     - |4856k| 5.038901e-01 | 1.065683e+01 |2014.91%
      1 |     0 |  2965 |     - |4856k| 5.038901e-01 | 1.065683e+01 |2014.91%
      1 |     0 |  3119 |     - |4858k| 8.104875e-01 | 1.065683e+01 |1214.87%
      1 |     0 |  3119 |     - |4858k| 8.104875e-01 | 1.065683e+01 |1214.87%
      1 |     0 |  3267 |     - |5097k| 9.850122e-01 | 1.065683e+01 | 981.90%
      1 |     0 |  3267 |     - |5097k| 9.850122e-01 | 1.065683e+01 | 981.90%
      1 |     0 |  3408 |     - |5107k| 1.066400e+00 | 1.065683e+01 | 899.33%
