numerics/lpfeastol = 1e-08
presolving:
(round 1, fast)       576 del vars, 768 del conss, 0 add conss, 528 chg bounds, 0 chg sides, 0 chg coeffs, 48 upgd conss, 0 impls, 48 clqs
(round 2, fast)       672 del vars, 864 del conss, 0 add conss, 576 chg bounds, 0 chg sides, 0 chg coeffs, 48 upgd conss, 0 impls, 48 clqs
(round 3, exhaustive) 672 del vars, 864 del conss, 0 add conss, 576 chg bounds, 0 chg sides, 0 chg coeffs, 96 upgd conss, 0 impls, 48 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 672 deleted vars, 864 deleted constraints, 0 added constraints, 576 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1152 implications, 48 cliques
presolved problem has 577 variables (192 bin, 0 int, 0 impl, 385 cont) and 266 constraints
     48 constraints of type <soc>
     48 constraints of type <setppc>
     26 constraints of type <linear>
    144 constraints of type <quadratic>
Presolving Time: 0.04
numerics/lpfeastol = 1e-08

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |     0 |     - |7108k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |    20 |     - |7111k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |    36 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |    77 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   136 |     - |7140k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   242 |     - |7199k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |   374 |     - |7199k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  1043 |     - |7353k| 0.000000e+00 |      --      |    Inf 
      1 |     0 |  1184 |     - |7482k| 0.000000e+00 |      --      |    Inf 
      1 |     2 |  1184 |     - |7492k| 0.000000e+00 |      --      |    Inf 
    100 |   101 |185726 |1869.4 |  22M| 5.846002e+00 |      --      |    Inf 
    200 |   201 |376172 |1887.0 |  36M| 5.870634e+00 |      --      |    Inf 
    300 |   301 |554087 |1850.9 |  45M| 5.874874e+00 |      --      |    Inf 
    400 |   401 |744435 |1864.1 |  54M| 5.879881e+00 |      --      |    Inf 
    500 |   499 |934047 |1870.5 |  64M| 5.882154e+00 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    600 |   597 |  1136k|1895.5 |  74M| 5.885518e+00 |      --      |    Inf 
    700 |   697 |  1323k|1892.0 |  82M| 5.891554e+00 |      --      |    Inf 
    800 |   793 |  1514k|1894.1 |  92M| 5.898561e+00 |      --      |    Inf 
    900 |   893 |  1707k|1898.1 | 101M| 5.911590e+00 |      --      |    Inf 
   1000 |   989 |  1890k|1891.5 | 109M| 5.914979e+00 |      --      |    Inf 
   1100 |  1079 |  2059k|1873.6 | 118M| 5.916604e+00 |      --      |    Inf 
   1200 |  1175 |  2243k|1870.9 | 126M| 5.919933e+00 |      --      |    Inf 
   1300 |  1257 |  2395k|1843.4 | 134M| 5.920531e+00 |      --      |    Inf 
   1400 |  1341 |  2553k|1825.1 | 142M| 5.920856e+00 |      --      |    Inf 
   1500 |  1393 |  2664k|1777.2 | 148M| 5.921083e+00 |      --      |    Inf 
   1600 |  1443 |  2774k|1734.9 | 153M| 5.921449e+00 |      --      |    Inf 
   1700 |  1495 |  2887k|1699.0 | 159M| 5.921538e+00 |      --      |    Inf 
*  1751 |  1538 |  2971k|1697.7 | 161M| 5.921882e+00 | 9.344422e+01 |1477.95%
   1800 |  1579 |  3026k|1681.9 | 166M| 5.923461e+00 | 9.344422e+01 |1477.53%
   1900 |  1661 |  3173k|1670.9 | 174M| 5.923817e+00 | 9.344422e+01 |1477.43%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2000 |  1757 |  3341k|1671.4 | 180M| 5.925262e+00 | 9.344422e+01 |1477.05%
   2100 |  1855 |  3511k|1672.6 | 188M| 5.926880e+00 | 9.344422e+01 |1476.62%
*  2189 |  1922 |  3640k|1663.6 | 195M| 5.927566e+00 | 6.221951e+01 | 949.66%
   2200 |  1933 |  3650k|1659.6 | 195M| 5.927754e+00 | 6.221951e+01 | 949.63%
   2300 |  2019 |  3817k|1660.2 | 204M| 5.928696e+00 | 6.221951e+01 | 949.46%
   2400 |  2113 |  4004k|1668.8 | 213M| 5.931690e+00 | 6.221951e+01 | 948.93%
   2500 |  2209 |  4172k|1669.5 | 220M| 5.935827e+00 | 6.221951e+01 | 948.20%
   2600 |  2299 |  4333k|1667.1 | 228M| 5.936530e+00 | 6.221951e+01 | 948.08%
   2700 |  2399 |  4519k|1674.3 | 236M| 5.938874e+00 | 6.221951e+01 | 947.67%
   2800 |  2495 |  4690k|1675.7 | 245M| 5.941362e+00 | 6.221951e+01 | 947.23%
   2900 |  2589 |  4857k|1675.4 | 253M| 5.942050e+00 | 6.221951e+01 | 947.11%
   3000 |  2685 |  5006k|1669.2 | 259M| 5.942530e+00 | 6.221951e+01 | 947.02%
   3100 |  2779 |  5172k|1668.8 | 269M| 5.944386e+00 | 6.221951e+01 | 946.69%
   3200 |  2871 |  5331k|1666.5 | 275M| 5.945008e+00 | 6.221951e+01 | 946.58%
   3300 |  2965 |  5492k|1664.7 | 282M| 5.945119e+00 | 6.221951e+01 | 946.56%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   3400 |  3059 |  5672k|1668.7 | 292M| 5.947189e+00 | 6.221951e+01 | 946.20%
   3500 |  3149 |  5819k|1663.0 | 299M| 5.948934e+00 | 6.221951e+01 | 945.89%
   3600 |  3241 |  5971k|1659.1 | 307M| 5.949296e+00 | 6.221951e+01 | 945.83%
   3700 |  3335 |  6121k|1654.6 | 313M| 5.951887e+00 | 6.221951e+01 | 945.37%
   3800 |  3419 |  6265k|1649.2 | 323M| 5.952442e+00 | 6.221951e+01 | 945.28%
   3900 |  3505 |  6426k|1648.0 | 329M| 5.954571e+00 | 6.221951e+01 | 944.90%
   4000 |  3593 |  6580k|1645.3 | 337M| 5.955734e+00 | 6.221951e+01 | 944.70%
   4100 |  3683 |  6733k|1642.5 | 345M| 5.956639e+00 | 6.221951e+01 | 944.54%
   4200 |  3769 |  6882k|1639.0 | 353M| 5.956748e+00 | 6.221951e+01 | 944.52%
   4300 |  3857 |  7033k|1636.0 | 359M| 5.957616e+00 | 6.221951e+01 | 944.37%
   4400 |  3949 |  7199k|1636.5 | 367M| 5.957661e+00 | 6.221951e+01 | 944.36%
   4500 |  4035 |  7350k|1633.7 | 375M| 5.958063e+00 | 6.221951e+01 | 944.29%
   4600 |  4133 |  7520k|1635.2 | 384M| 5.959075e+00 | 6.221951e+01 | 944.11%
   4700 |  4227 |  7681k|1634.7 | 391M| 5.960193e+00 | 6.221951e+01 | 943.92%
   4800 |  4319 |  7838k|1633.3 | 399M| 5.962538e+00 | 6.221951e+01 | 943.51%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   4900 |  4413 |  7990k|1630.9 | 406M| 5.963039e+00 | 6.221951e+01 | 943.42%
   5000 |  4499 |  8138k|1627.9 | 414M| 5.963879e+00 | 6.221951e+01 | 943.27%
   5100 |  4589 |  8287k|1625.2 | 421M| 5.964272e+00 | 6.221951e+01 | 943.20%
   5200 |  4675 |  8420k|1619.6 | 427M| 5.965255e+00 | 6.221951e+01 | 943.03%
   5300 |  4767 |  8579k|1619.0 | 437M| 5.965851e+00 | 6.221951e+01 | 942.93%
   5400 |  4851 |  8711k|1613.5 | 442M| 5.966041e+00 | 6.221951e+01 | 942.89%
   5500 |  4939 |  8857k|1610.7 | 449M| 5.966480e+00 | 6.221951e+01 | 942.82%
   5600 |  5021 |  8991k|1605.8 | 456M| 5.966480e+00 | 6.221951e+01 | 942.82%
   5700 |  5101 |  9127k|1601.5 | 462M| 5.966480e+00 | 6.221951e+01 | 942.82%
   5800 |  5181 |  9264k|1597.4 | 468M| 5.966480e+00 | 6.221951e+01 | 942.82%
   5900 |  5269 |  9410k|1595.1 | 477M| 5.970306e+00 | 6.221951e+01 | 942.15%
   6000 |  5359 |  9556k|1592.9 | 483M| 5.970564e+00 | 6.221951e+01 | 942.10%
   6100 |  5445 |  9690k|1588.8 | 489M| 5.970914e+00 | 6.221951e+01 | 942.04%
   6200 |  5537 |  9833k|1586.2 | 495M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6300 |  5615 |  9959k|1581.0 | 501M| 5.971617e+00 | 6.221951e+01 | 941.92%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   6400 |  5711 | 10100k|1578.3 | 507M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6500 |  5799 | 10235k|1574.8 | 515M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6600 |  5877 | 10371k|1571.6 | 521M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6700 |  5963 | 10509k|1568.7 | 528M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6800 |  6055 | 10655k|1567.1 | 537M| 5.971617e+00 | 6.221951e+01 | 941.92%
   6900 |  6151 | 10805k|1566.1 | 542M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7000 |  6249 | 10959k|1565.8 | 550M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7100 |  6339 | 11099k|1563.5 | 555M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7200 |  6431 | 11238k|1561.1 | 561M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7300 |  6525 | 11379k|1559.0 | 569M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7400 |  6617 | 11529k|1558.2 | 578M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7500 |  6705 | 11682k|1557.8 | 584M| 5.971617e+00 | 6.221951e+01 | 941.92%
   7600 |  6797 | 11822k|1555.6 | 593M| 5.980501e+00 | 6.221951e+01 | 940.37%
*  7663 |  6503 | 11907k|1554.0 | 598M| 5.980575e+00 | 3.442065e+01 | 475.54%
   7700 |  6540 | 11965k|1554.1 | 598M| 5.980887e+00 | 3.442065e+01 | 475.51%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   7800 |  6628 | 12101k|1551.6 | 598M| 5.981017e+00 | 3.442065e+01 | 475.50%
C  7863 |  6245 | 12198k|1551.4 | 602M| 5.981448e+00 | 2.800858e+01 | 368.26%
   7900 |  6282 | 12258k|1551.8 | 739M| 5.982254e+00 | 2.800858e+01 | 368.19%
   8000 |  6370 | 12405k|1550.8 | 740M| 5.982516e+00 | 2.800858e+01 | 368.17%
   8100 |  6442 | 12533k|1547.4 | 746M| 5.983161e+00 | 2.800858e+01 | 368.12%
   8200 |  6530 | 12699k|1548.8 | 752M| 5.984261e+00 | 2.800858e+01 | 368.04%
   8300 |  6622 | 12843k|1547.5 | 760M| 5.985103e+00 | 2.800858e+01 | 367.97%
   8400 |  6716 | 13006k|1548.5 | 769M| 5.985720e+00 | 2.800858e+01 | 367.92%
   8500 |  6808 | 13152k|1547.5 | 776M| 5.986322e+00 | 2.800858e+01 | 367.88%
   8600 |  6898 | 13303k|1547.0 | 784M| 5.988034e+00 | 2.800858e+01 | 367.74%
   8700 |  6990 | 13457k|1547.0 | 791M| 5.989562e+00 | 2.800858e+01 | 367.62%
   8800 |  7084 | 13616k|1547.5 | 799M| 5.989942e+00 | 2.800858e+01 | 367.59%
   8900 |  7164 | 13757k|1545.9 | 806M| 5.990645e+00 | 2.800858e+01 | 367.54%
   9000 |  7260 | 13923k|1547.1 | 814M| 5.991392e+00 | 2.800858e+01 | 367.48%
   9100 |  7354 | 14078k|1547.2 | 822M| 5.991665e+00 | 2.800858e+01 | 367.46%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   9200 |  7448 | 14237k|1547.7 | 828M| 5.992652e+00 | 2.800858e+01 | 367.38%
   9300 |  7546 | 14401k|1548.7 | 835M| 5.993036e+00 | 2.800858e+01 | 367.35%
   9400 |  7638 | 14547k|1547.7 | 843M| 5.993670e+00 | 2.800858e+01 | 367.30%
   9500 |  7734 | 14705k|1548.0 | 849M| 5.994663e+00 | 2.800858e+01 | 367.23%
   9600 |  7824 | 14846k|1546.6 | 856M| 5.994706e+00 | 2.800858e+01 | 367.22%
   9700 |  7920 | 14999k|1546.4 | 864M| 5.995254e+00 | 2.800858e+01 | 367.18%
   9800 |  8000 | 15140k|1545.1 | 872M| 5.995963e+00 | 2.800858e+01 | 367.12%
   9900 |  8086 | 15283k|1543.8 | 878M| 5.996697e+00 | 2.800858e+01 | 367.07%
  10000 |  8176 | 15433k|1543.5 | 885M| 5.996855e+00 | 2.800858e+01 | 367.05%
  10100 |  8258 | 15577k|1542.5 | 892M| 5.997268e+00 | 2.800858e+01 | 367.02%
  10200 |  8358 | 15743k|1543.6 | 900M| 5.997917e+00 | 2.800858e+01 | 366.97%
  10300 |  8452 | 15901k|1543.9 | 905M| 5.998099e+00 | 2.800858e+01 | 366.96%
  10400 |  8550 | 16062k|1544.6 | 915M| 5.998483e+00 | 2.800858e+01 | 366.93%
  10500 |  8638 | 16212k|1544.1 | 922M| 5.998898e+00 | 2.800858e+01 | 366.90%
  10600 |  8732 | 16364k|1543.9 | 929M| 5.999581e+00 | 2.800858e+01 | 366.84%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
  10700 |  8832 | 16533k|1545.2 | 936M| 6.000490e+00 | 2.800858e+01 | 366.77%
  10800 |  8912 | 16677k|1544.3 | 944M| 6.000651e+00 | 2.800858e+01 | 366.76%
  10900 |  9000 | 16821k|1543.4 | 949M| 6.000895e+00 | 2.800858e+01 | 366.74%
  11000 |  9092 | 16967k|1542.6 | 957M| 6.001341e+00 | 2.800858e+01 | 366.71%
