solver,instance,filename,sense,timelimit,solver_time,total_time,status,newstatus,objval,objbound,calc_objgap,objval_error,validator_status,validator_relobjdiff,iter_count,node_count,conic_count,conic_opt_count,conic_inf_count,relax_status,relax_time,conic_time,mip_time,int_viol,lin_viol,soc_viol,socrot_viol,exp_viol,psd_viol
PAJ_Gurobi_MOSEK,ck_n75_m10_o1_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m10_o1_5.txt,Max,3600.0,1.2965571880340576,1.3378829956054688,Optimal,conv,30802.0,30802.0,0.0,0.0,Optimal,0.0,3,NaN,3,1,2,Optimal,2.80e-02,1.31e-02,1.21e+00,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,ck_n75_m10_o3_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m10_o3_5.txt,Max,3600.0,4.670686960220337,4.713905096054077,Optimal,conv,29489.0,29489.0,0.0,0.0,Optimal,0.0,4,NaN,4,1,3,Optimal,2.54e-02,1.83e-02,4.58e+00,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,ck_n75_m10_o5_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m10_o5_5.txt,Max,3600.0,2.7996129989624023,2.8447258472442627,Optimal,conv,29070.0,29070.0,0.0,0.0,Optimal,0.0,3,NaN,3,1,2,Optimal,2.56e-02,1.41e-02,2.71e+00,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,ck_n75_m20_o1_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m20_o1_5.txt,Max,3600.0,0.790604829788208,0.8322310447692871,Optimal,conv,27332.0,27332.0,0.0,0.0,Optimal,0.0,1,NaN,1,1,0,Optimal,4.90e-02,7.90e-03,6.85e-01,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,ck_n75_m20_o3_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m20_o3_5.txt,Max,3600.0,13.209697008132935,13.253613948822021,Optimal,conv,25584.0,25584.0,0.0,0.0,Optimal,0.0,5,NaN,5,1,4,Optimal,6.68e-02,4.29e-02,1.30e+01,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,ck_n75_m20_o5_5.cbf,PAJ_Gurobi_MOSEK.ck_n75_m20_o5_5.txt,Max,3600.0,11.414119958877563,11.460810899734497,Optimal,conv,24838.0,24838.0,0.0,0.0,Optimal,0.0,4,NaN,4,1,3,Optimal,5.75e-02,4.21e-02,1.12e+01,0.0,6.207699243532261e-9,-Inf,0.0,-Inf,-Inf
PAJ_Gurobi_MOSEK,classical_50_0.cbf,PAJ_Gurobi_MOSEK.classical_50_0.txt,Min,3600.0,25.36194610595703,25.362781047821045,Optimal,conv,-0.09074141582983794,-0.09074141582983795,1.5292089584404714e-16,0.0,Optimal,9.510462471168812e-9,7,NaN,7,6,1,Optimal,1.16e-02,2.11e-02,2.53e+01,0.0,8.638401105542926e-11,2.9077157348567084e-11,-Inf,-Inf,-Inf
PAJ_Gurobi_MOSEK,classical_50_1.cbf,PAJ_Gurobi_MOSEK.classical_50_1.txt,Min,3600.0,16.115076065063477,16.11591076850891,Optimal,conv,-0.09476023119976283,-0.09476023119976283,0.0,0.0,Optimal,0.0,7,NaN,7,7,0,Optimal,9.22e-03,2.60e-02,1.60e+01,0.0,4.705780209945942e-11,0.0,-Inf,-Inf,-Inf
PAJ_Gurobi_MOSEK,estein4_A.cbf,PAJ_Gurobi_MOSEK.estein4_A.txt,Min,3600.0,0.09549283981323242,0.09593415260314941,Optimal,conv,0.8013654952726907,0.8013654952726907,0.0,0.0,Optimal,7.14409922648076e-9,3,NaN,3,3,0,Optimal,4.18e-03,6.28e-03,8.21e-02,0.0,1.788455217255347e-10,0.0,-Inf,-Inf,-Inf
PAJ_Gurobi_MOSEK,estein4_B.cbf,PAJ_Gurobi_MOSEK.estein4_B.txt,Min,3600.0,0.5790770053863525,0.5795340538024902,Optimal,conv,1.1880860382513814,1.1880860382513814,0.0,0.0,Optimal,2.3780009895688825e-9,3,NaN,2,2,0,Optimal,4.19e-03,6.58e-03,8.90e-02,0.0,2.6856350476833768e-11,0.0,-Inf,-Inf,-Inf
PAJ_Gurobi_MOSEK,estein4_C.cbf,PAJ_Gurobi_MOSEK.estein4_C.txt,Min,3600.0,0.10058903694152832,0.10102701187133789,Optimal,conv,1.0726936880566815,1.0726936880566815,0.0,0.0,Optimal,1.9693065612999144e-9,3,NaN,3,3,0,Optimal,4.55e-03,8.67e-03,8.45e-02,0.0,1.0868106414818612e-10,0.0,-Inf,-Inf,-Inf
PAJ_Gurobi_MOSEK,estein4_nr22.cbf,PAJ_Gurobi_MOSEK.estein4_nr22.txt,Min,3600.0,0.47716498374938965,0.4775989055633545,Optimal,conv,0.5032861761982098,0.5032861761982098,0.0,0.0,Optimal,9.670363074050766e-10,3,NaN,2,2,0,Optimal,3.20e-03,5.25e-03,7.46e-02,0.0,1.5473955450318044e-11,0.0,-Inf,-Inf,-Inf
